,team,opp_home,opp,week,slot,ot,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,sk,sk_yds,pass_rtg,rush_att,rush_yds,rush_yda,rush_td,tot_yds,plays,yds_play,to,off_time,first,rush_first,pass_first,Pen,third_att,third_cmp,third_pct,fourth_att,fourth_cmp,fourth_pct,off_result,off_score,opp_score,pass_pts,rush_pts
238,DEN,0.0,NYJ,3,4,0.0,19,25,76.0,223,0,0,2,12,104.6,37,120,3.24,2,343,64,5.359375,1.0,2147,23,9,10,4,11,4,0.364,0,0,0.0,1,26,0,8.92,24.0
239,DET,0.0,BAL,3,3,0.0,22,31,71.0,192,0,0,2,25,90.4,27,93,3.44,2,285,60,4.75,0.0,1953,22,7,13,2,10,3,0.3,0,0,0.0,0,17,19,7.68,21.3
240,DET,1.0,MIN,5,3,0.0,21,35,60.0,180,0,1,4,23,64.3,24,108,4.5,1,288,63,4.571428571,2.0,1674,22,7,11,4,11,3,0.273,1,0,0.0,0,17,19,6.2,16.8
241,DET,0.0,CIN,6,3,0.0,28,42,66.7,192,0,1,1,10,67.8,18,36,2.0,1,228,61,3.737704918,1.0,1448,15,3,12,0,14,5,0.35700000000000004,2,1,0.5,0,11,34,6.68,9.6
242,DET,0.0,PHI,8,3,0.0,25,34,73.5,171,0,0,6,51,90.6,18,57,3.17,1,228,58,3.931034483,1.0,1500,15,3,11,1,14,5,0.35700000000000004,5,2,0.4,0,6,44,6.84,11.7
243,GNB,1.0,NOR,1,4,0.0,20,35,57.1,186,0,2,2,15,49.8,15,43,2.87,0,229,52,4.403846154,3.0,1524,14,2,9,3,10,1,0.1,3,2,0.667,0,3,38,5.44,4.3
244,HOU,1.0,BUF,4,3,0.0,11,21,52.4,61,0,4,3,26,23.4,18,48,2.67,0,109,42,2.595238095,5.0,1305,6,2,4,0,9,1,0.111,2,1,0.5,0,0,40,-1.56,4.800000000000001
245,HOU,1.0,IND,6,3,0.0,29,43,67.4,229,0,2,2,14,62.5,29,124,4.28,0,353,74,4.77027027,3.0,2073,19,7,12,0,17,9,0.529,2,1,0.5,0,3,31,7.16,12.4
246,HOU,1.0,ARI,7,4,0.0,23,32,71.9,118,0,0,2,17,79.6,15,42,2.8,0,160,49,3.265306122,1.0,1557,8,0,6,2,13,2,0.154,2,0,0.0,0,5,31,4.72,4.2
247,HOU,1.0,MIA,9,3,0.0,24,44,54.5,199,0,3,5,41,41.9,18,73,4.06,0,272,67,4.059701493,4.0,1782,14,3,11,0,17,6,0.353,1,1,1.0,0,9,17,4.96,7.300000000000001
248,JAX,1.0,CIN,4,1,0.0,17,24,70.8,202,0,0,1,2,96.5,30,139,4.63,3,341,55,6.2,0.0,1725,21,12,8,1,12,6,0.5,2,1,0.5,0,21,24,8.08,31.9
249,JAX,0.0,BUF,9,3,0.0,17,28,60.7,139,0,0,2,12,75.1,27,79,2.93,0,218,57,3.824561404,1.0,1762,16,5,5,6,13,2,0.154,2,2,1.0,1,9,6,5.5600000000000005,7.9
250,KAN,1.0,TEN,7,3,0.0,31,51,60.8,257,0,1,4,31,68.1,13,77,5.92,0,334,68,4.911764706,3.0,1419,22,4,16,2,11,4,0.364,3,2,0.667,0,3,27,9.28,7.7
251,MIA,0.0,BUF,2,3,0.0,25,44,56.8,145,0,1,6,37,57.2,20,71,3.55,0,216,70,3.085714286,3.0,1894,13,2,9,2,18,8,0.444,4,0,0.0,0,0,35,4.8,7.1000000000000005
252,MIA,1.0,LVR,3,4,1.0,32,49,65.3,197,0,0,2,18,74.8,27,133,4.93,2,330,78,4.230769231,0.0,1873,22,5,13,4,18,6,0.33299999999999996,4,3,0.75,0,28,31,7.88,25.3
253,MIA,1.0,BUF,8,3,0.0,21,39,53.8,194,0,1,2,11,58.2,23,68,2.96,1,262,64,4.09375,2.0,1753,16,4,10,2,14,4,0.28600000000000003,1,1,1.0,0,11,26,6.76,12.8
254,NOR,1.0,CAR,2,3,0.0,11,22,50.0,80,0,2,4,31,26.9,17,48,2.82,1,128,43,2.976744186,2.0,1288,6,2,3,1,11,2,0.182,2,0,0.0,0,7,26,1.2000000000000002,10.8
255,NWE,1.0,NYJ,2,3,0.0,22,30,73.3,159,0,0,3,27,89.0,24,101,4.21,2,260,57,4.561403509,0.0,1672,17,6,9,2,12,3,0.25,0,0,0.0,1,25,6,6.36,22.1
256,NWE,1.0,LAC,8,4,0.0,18,35,51.4,210,0,0,1,7,70.8,39,142,3.64,1,352,75,4.693333333,1.0,2124,21,9,10,2,19,9,0.474,1,0,0.0,1,27,24,8.4,20.200000000000003
257,NYG,0.0,ATL,3,3,0.0,24,35,68.6,246,0,0,2,20,90.9,27,100,3.7,1,346,64,5.40625,1.0,1911,21,7,12,2,14,7,0.5,0,0,0.0,0,14,17,9.84,16.0
258,NYG,0.0,LAR,6,3,0.0,29,51,56.9,201,0,3,4,41,44.7,18,60,3.33,1,261,73,3.575342466,4.0,1658,21,4,15,2,15,4,0.267,4,2,0.5,0,11,38,5.040000000000001,12.0
259,NYJ,0.0,NWE,2,3,0.0,19,33,57.6,184,0,4,4,26,37.0,31,152,4.9,0,336,68,4.941176471,4.0,1928,18,9,6,3,13,5,0.385,3,1,0.33299999999999996,0,6,25,3.3600000000000003,15.200000000000001
260,NYJ,1.0,DEN,3,4,0.0,19,35,54.3,119,0,2,5,41,42.6,13,43,3.31,0,162,53,3.056603774,2.0,1453,11,1,10,0,13,4,0.308,2,0,0.0,0,0,26,2.76,4.3
261,NYJ,1.0,ATL,5,2,0.0,19,32,59.4,166,0,1,2,26,63.5,18,64,3.56,2,230,52,4.423076923,1.0,1446,17,6,9,2,10,5,0.5,0,0,0.0,0,20,27,5.640000000000001,18.4
262,TEN,1.0,SEA,2,4,1.0,27,40,67.5,320,0,0,3,27,94.5,40,212,5.3,3,532,83,6.409638554,1.0,2553,33,11,16,6,14,6,0.429,1,0,0.0,1,33,30,12.8,39.2
263,TEN,0.0,BUF,6,6,0.0,18,29,62.1,216,0,1,0,0,70.5,22,146,6.64,4,362,51,7.098039216,1.0,1630,16,6,9,1,10,4,0.4,1,1,1.0,1,34,31,7.640000000000001,38.6
264,PHI,0.0,SFO,2,3,0.0,12,24,50.0,177,0,0,2,13,76.7,29,151,5.21,1,328,55,5.963636364,0.0,1506,18,8,7,3,12,5,0.41700000000000004,1,0,0.0,0,11,17,7.08,21.1
265,PHI,1.0,CAR,5,3,0.0,22,37,59.5,182,0,1,2,16,62.7,22,91,4.14,2,273,61,4.475409836,2.0,1497,15,6,8,1,13,4,0.308,1,0,0.0,1,21,18,6.28,21.1
266,PHI,1.0,DET,8,3,0.0,11,16,68.8,114,0,0,0,0,89.1,46,236,5.13,4,350,62,5.64516129,0.0,2100,27,19,6,2,10,5,0.5,0,0,0.0,1,44,6,4.5600000000000005,47.6
267,LVR,0.0,CHI,5,4,0.0,22,35,62.9,188,0,1,3,18,67.1,22,71,3.23,1,259,60,4.316666667,1.0,1678,16,6,7,3,14,5,0.35700000000000004,3,1,0.33299999999999996,0,9,20,6.5200000000000005,13.100000000000001
268,SFO,1.0,ARI,5,4,0.0,15,29,51.7,186,0,1,2,6,58.4,28,152,5.43,1,338,59,5.728813559,1.0,1914,19,7,9,3,11,3,0.273,5,1,0.2,0,10,17,6.44,21.200000000000003
269,SFO,1.0,CHI,8,3,0.0,17,28,60.7,322,0,0,0,0,100.6,26,145,5.58,3,467,54,8.648148148,0.0,1391,21,9,12,0,10,4,0.4,1,1,1.0,1,33,22,12.88,32.5
270,TAM,1.0,NWE,4,5,0.0,22,43,51.2,261,0,0,1,8,70.8,30,120,4.0,1,381,74,5.148648649,0.0,2035,22,8,12,2,19,9,0.474,0,0,0.0,1,19,17,10.44,18.0
271,WAS,0.0,NOR,5,3,0.0,20,41,48.8,242,0,2,2,6,47.6,33,131,3.97,2,373,76,4.907894737,2.0,2186,26,11,11,4,16,5,0.313,3,1,0.33299999999999996,0,22,33,7.68,25.1
