,team,opp_home,opp,week,slot,ot,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,sk,sk_yds,pass_rtg,rush_att,rush_yds,rush_yda,rush_td,tot_yds,plays,yds_play,to,off_time,first,rush_first,pass_first,Pen,third_att,third_cmp,third_pct,fourth_att,fourth_cmp,fourth_pct,off_result,off_score,opp_score,pass_pts,rush_pts
215,TAM,1.0,LAR,3,4,0.0,41,55,74.5,411,1,0,3,21,103.0,13,35,2.69,2,446,71,6.281690141,0.0,1790,27,3,24,0,13,6,0.462,2,1,0.5,0,24,34,20.44,15.5
216,WAS,0.0,LAC,1,3,0.0,14,21,66.7,133,1,0,1,2,100.3,27,126,4.67,0,259,49,5.285714286,1.0,1437,15,6,6,3,10,3,0.3,1,1,1.0,0,16,20,9.32,12.600000000000001
217,WAS,0.0,KAN,6,3,0.0,24,39,61.5,182,1,1,0,0,70.7,19,94,4.95,0,276,58,4.75862069,2.0,1567,15,6,8,1,14,7,0.5,0,0,0.0,0,13,31,10.280000000000001,9.4
218,WAS,1.0,GNB,7,3,0.0,25,37,67.6,235,1,1,4,33,86.3,29,195,6.72,0,430,70,6.142857143,2.0,1974,25,9,15,1,11,4,0.364,4,1,0.25,0,10,24,12.4,19.5
219,WAS,1.0,DEN,8,4,0.0,24,39,61.5,230,1,2,5,40,69.4,24,112,4.67,0,342,68,5.029411765,2.0,1910,21,6,14,1,14,5,0.35700000000000004,5,1,0.2,0,10,17,11.200000000000001,11.200000000000001
220,ATL,0.0,PHI,1,3,0.0,21,35,60.0,136,0,0,3,28,71.6,26,124,4.77,0,260,64,4.0625,0.0,1738,19,7,8,4,14,3,0.214,3,1,0.33299999999999996,0,6,32,5.44,12.4
221,BUF,1.0,JAX,9,3,0.0,31,47,66.0,229,0,2,4,35,62.7,14,72,5.14,0,301,65,4.630769231,3.0,1838,17,2,15,0,15,6,0.4,1,0,0.0,0,6,9,7.16,7.2
222,CAR,1.0,HOU,3,1,0.0,23,34,67.6,290,0,0,3,14,95.7,33,117,3.55,3,407,70,5.814285714,0.0,2145,28,10,15,3,11,5,0.455,1,0,0.0,1,24,9,11.6,29.700000000000003
223,CAR,1.0,NYG,7,3,0.0,19,39,48.7,117,0,1,6,28,47.5,17,56,3.29,0,173,62,2.790322581,1.0,1525,11,3,8,0,15,2,0.133,4,2,0.5,0,3,25,3.6799999999999997,5.6000000000000005
224,CAR,1.0,ATL,8,3,0.0,13,25,52.0,129,0,0,0,0,66.9,47,203,4.32,1,332,72,4.611111111,1.0,2123,21,13,7,1,17,10,0.588,0,0,0.0,1,19,13,5.16,26.3
225,CAR,0.0,NWE,9,3,0.0,16,33,48.5,162,0,3,1,10,26.3,23,78,3.39,0,240,57,4.210526316,3.0,1651,13,5,8,0,11,3,0.273,1,0,0.0,0,6,24,3.4800000000000004,7.800000000000001
226,CHI,1.0,LAR,1,5,0.0,29,40,72.5,188,0,1,3,28,74.6,26,134,5.15,2,322,69,4.666666667,2.0,2114,24,10,13,1,11,5,0.455,4,0,0.0,0,14,34,6.5200000000000005,25.4
227,CHI,1.0,CLE,3,3,0.0,6,20,30.0,1,0,0,9,67,41.2,13,46,3.54,0,47,42,1.119047619,0.0,1226,6,2,2,2,11,1,0.091,1,0,0.0,0,6,26,0.04,4.6000000000000005
228,CHI,0.0,DET,4,3,0.0,11,17,64.7,185,0,1,1,24,82.7,39,188,4.82,3,373,57,6.543859649,1.0,1723,20,13,5,2,8,1,0.125,1,1,1.0,1,24,14,6.4,36.8
229,CHI,1.0,TAM,7,4,0.0,22,32,68.8,168,0,3,4,16,44.3,29,143,4.93,0,311,65,4.784615385,5.0,1735,17,6,11,0,11,2,0.182,1,0,0.0,0,3,38,3.7199999999999998,14.3
230,CIN,0.0,CLE,9,3,0.0,29,42,69.0,263,0,2,5,25,68.4,23,85,3.7,2,348,70,4.971428571,3.0,2122,25,6,15,4,11,3,0.273,2,0,0.0,0,16,41,8.52,20.5
231,CLE,1.0,KAN,1,4,0.0,21,28,75.0,304,0,1,2,17,97.5,26,153,5.88,4,457,56,8.160714286,2.0,1633,24,9,14,1,7,2,0.28600000000000003,4,3,0.75,0,29,33,11.16,39.3
232,CLE,1.0,MIN,4,3,0.0,15,33,45.5,143,0,0,3,12,59.5,38,184,4.84,1,327,74,4.418918919,0.0,2132,20,10,9,1,18,7,0.389,1,0,0.0,1,14,7,5.72,24.400000000000002
233,CLE,0.0,PIT,8,3,0.0,20,31,64.5,210,0,0,4,15,86.1,23,96,4.17,1,306,58,5.275862069,1.0,1695,19,7,10,2,10,3,0.3,2,0,0.0,0,10,15,8.4,15.600000000000001
234,IND,1.0,TEN,3,3,0.0,19,37,51.4,178,0,0,2,16,66.7,18,87,4.83,1,265,57,4.649122807,0.0,1554,19,7,8,4,12,3,0.25,2,2,1.0,0,16,25,7.12,14.700000000000001
235,ARI,1.0,JAX,3,3,0.0,28,34,82.4,316,0,1,0,0,93.1,30,91,3.03,3,407,64,6.359375,1.0,1974,23,8,14,1,9,1,0.111,2,2,1.0,1,31,19,11.64,27.1
236,ARI,0.0,GNB,8,1,0.0,22,33,66.7,260,0,2,2,14,67.0,20,74,3.7,3,334,55,6.072727273,3.0,1345,22,7,12,3,10,4,0.4,2,2,1.0,0,21,24,8.4,25.4
237,DAL,1.0,LAC,2,4,0.0,23,27,85.2,221,0,1,2,16,87.8,31,198,6.39,2,419,60,6.983333333,1.0,1743,25,11,13,1,10,6,0.6,1,0,0.0,1,20,17,7.84,31.8
