,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
254,Ja'Marr Chase,WR,CIN,0.0,JAX,4,4,Thu,9,6,77,12.83,0,66.70%,8.56,13.7,0,0,0,0,0,0,0,0,0,1,24,21
255,Ja'Marr Chase,WR,CIN,1.0,DET,6,6,Sun,6,4,97,24.25,0,66.70%,16.17,13.7,0,0,0,0,0,0,0,0,0,1,34,11
256,Tee Higgins,WR,CIN,1.0,NYJ,8,8,Sun,6,4,97,24.25,0,66.70%,16.17,13.7,0,0,0,0,0,0,0,0,0,0,31,34
257,Tyler Boyd,WR,CIN,1.0,PIT,3,3,Sun,6,4,36,9.0,1,66.70%,6.0,13.6,0,0,0,0,0,0,0,0,0,1,24,10
258,Demarcus Robinson,WR,KAN,1.0,WAS,6,6,Sun,6,3,46,15.33,1,50.00%,7.67,13.6,0,0,0,0,0,0,0,0,0,1,31,13
259,Demarcus Robinson,WR,KAN,1.0,BAL,2,2,Sun,4,3,46,15.33,1,75.00%,11.5,13.6,0,0,0,0,0,0,0,0,0,0,35,36
260,Sammy Watkins,WR,BAL,1.0,LVR,1,1,Mon,8,4,96,24.0,0,50.00%,12.0,13.6,0,0,0,0,0,0,0,0,0,0,27,33
261,Keenan Allen,WR,LAC,0.0,CLE,5,5,Sun,9,6,75,12.5,0,66.70%,8.33,13.5,0,0,0,0,0,0,0,0,0,1,47,42
262,Amon-Ra St. Brown,WR,DET,1.0,MIN,5,5,Sun,8,7,65,9.29,0,87.50%,8.13,13.5,0,0,0,0,0,0,0,0,0,0,17,19
263,Ja'Marr Chase,WR,CIN,1.0,CHI,2,2,Sun,4,2,54,27.0,1,50.00%,13.5,13.4,0,0,0,0,0,0,0,0,0,0,17,20
264,Russell Gage,WR,ATL,1.0,NOR,8,9,Sun,8,7,64,9.14,0,87.50%,8.0,13.4,0,0,0,0,0,0,0,0,0,1,27,25
265,A.J. Green,WR,ARI,0.0,MIN,2,2,Sun,6,3,44,14.67,1,50.00%,7.33,13.4,0,0,0,0,0,0,0,0,0,1,34,33
266,Brandon Zylstra,WR,CAR,0.0,NOR,2,2,Sun,3,3,44,14.67,1,100.00%,14.67,13.4,0,0,0,0,0,0,0,0,0,1,26,7
267,Antonio Brown,WR,TAM,1.0,NWE,4,4,Sun,11,7,63,9.0,0,63.60%,5.73,13.3,0,0,0,0,0,0,0,0,0,1,19,17
268,Bryan Edwards,WR,LVR,0.0,PHI,7,7,Sun,4,3,43,14.33,1,75.00%,10.75,13.3,0,0,0,0,0,0,0,0,0,1,33,22
269,D.J. Moore,WR,CAR,1.0,NYG,7,7,Sun,10,6,73,12.17,0,60.00%,7.3,13.3,0,0,0,0,0,0,0,0,0,0,3,25
270,Michael Pittman Jr.,WR,IND,1.0,TEN,3,3,Sun,12,6,68,11.33,0,50.00%,5.67,13.3,0,0,0,0,0,1,5,0,0,0,16,25
271,Tee Higgins,WR,CIN,1.0,BAL,7,7,Sun,15,7,62,8.86,0,46.70%,4.13,13.2,0,0,0,0,0,0,0,0,0,1,41,17
272,Jerry Jeudy,WR,DEN,1.0,NYG,1,1,Sun,7,6,72,12.0,0,85.70%,10.29,13.2,0,0,0,0,0,0,0,0,0,1,27,13
