,player,pos,team,opp_home,opp,game,week,day,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,fmb,team_win,team_score,opp_score
216,Joe Mixon,RB,CIN,1.0,BAL,7,7,Sun,12,59,4.92,1,0,0,0,0.0,0,0.00%,0.0,11.9,0,0,0,0,0,0,1,41,17
217,Latavius Murray,RB,BAL,1.0,DEN,4,4,Sun,18,59,3.28,1,0,0,0,0.0,0,0.00%,0.0,11.9,0,0,0,0,0,0,1,23,7
218,David Johnson,RB,HOU,0.0,JAX,1,1,Sun,3,10,3.33,0,4,3,18,6.0,1,75.00%,4.5,11.8,0,0,0,0,0,0,1,37,21
219,Zack Moss,RB,BUF,0.0,MIA,7,8,Sun,8,19,2.38,0,7,6,39,6.5,0,85.70%,5.57,11.8,0,0,0,0,0,0,1,26,11
220,D'Andre Swift,RB,DET,1.0,GNB,2,2,Mon,8,37,4.63,0,5,4,41,10.25,0,80.00%,8.2,11.8,0,0,0,0,0,0,0,17,35
221,Austin Ekeler,RB,LAC,1.0,WAS,1,1,Sun,15,57,3.8,1,0,0,0,0.0,0,0.00%,0.0,11.7,0,0,0,0,0,0,1,20,16
222,Mike Davis,RB,ATL,0.0,CAR,7,8,Sun,9,44,4.89,0,6,5,22,4.4,0,83.30%,3.67,11.6,0,0,0,0,0,0,0,13,19
223,Leonard Fournette,RB,TAM,0.0,ATL,2,2,Sun,11,52,4.73,0,4,4,24,6.0,0,100.00%,6.0,11.6,0,0,0,0,0,1,1,48,25
224,Javonte Williams,RB,DEN,1.0,PIT,5,5,Sun,8,61,7.63,0,3,3,25,8.33,0,100.00%,8.33,11.6,0,0,0,0,0,0,0,19,27
225,Giovani Bernard,RB,TAM,0.0,MIA,5,5,Sun,4,21,5.25,0,2,2,14,7.0,1,100.00%,7.0,11.5,0,0,0,0,0,0,1,45,17
226,Sony Michel,RB,LAR,1.0,SEA,5,5,Thu,11,37,3.36,1,1,1,8,8.0,0,100.00%,8.0,11.5,0,0,0,0,0,0,1,26,17
227,Mark Ingram,RB,NOR,0.0,ATL,8,9,Sun,9,43,4.78,0,5,5,21,4.2,0,100.00%,4.2,11.4,0,0,0,0,0,0,0,25,27
228,Ty Johnson,RB,NYJ,1.0,ATL,5,5,Sun,4,12,3.0,1,3,2,22,11.0,0,66.70%,7.33,11.4,0,0,0,0,0,0,0,20,27
229,Trey Sermon,RB,SFO,0.0,GNB,3,3,Sun,10,31,3.1,1,3,2,3,1.5,0,66.70%,1.0,11.4,0,0,0,0,0,0,0,28,30
230,Ezekiel Elliott,RB,DAL,1.0,MIN,7,8,Sun,16,50,3.13,0,6,4,23,5.75,0,66.70%,3.83,11.3,0,0,0,0,0,0,1,20,16
231,Devonta Freeman,RB,BAL,0.0,LAC,6,6,Sun,9,53,5.89,1,2,0,0,0.0,0,0.00%,0.0,11.3,0,0,0,0,0,0,1,34,6
