,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
235,Darren Fells,TE,DET,0.0,BAL,3,3,Sun,3,2,35,17.5,0,66.70%,11.67,5.5,0,0,0,0,0,0,0,0,0,0,17,19
236,Tyler Higbee,TE,LAR,1.0,HOU,8,8,Sun,3,3,25,8.33,0,100.00%,8.33,5.5,0,0,0,0,0,0,0,0,0,1,38,22
237,Kyle Pitts,TE,ATL,1.0,NYG,3,3,Sun,3,2,35,17.5,0,66.70%,11.67,5.5,0,0,0,0,0,0,0,0,0,1,17,14
238,C.J. Uzomah,TE,CIN,0.0,MIN,1,1,Sun,2,2,35,17.5,0,100.00%,17.5,5.5,0,0,0,0,0,0,0,0,0,1,27,24
239,Evan Engram,TE,NYG,0.0,LAR,6,6,Sun,5,3,24,8.0,0,60.00%,4.8,5.4,0,0,0,0,0,0,0,0,0,0,11,38
240,Zach Ertz,TE,PHI,1.0,ATL,1,1,Sun,2,2,34,17.0,0,100.00%,17.0,5.4,0,0,0,0,0,0,0,0,0,1,32,6
241,Cole Kmet,TE,CHI,0.0,SFO,8,8,Sun,6,3,24,8.0,0,50.00%,4.0,5.4,0,0,0,0,0,0,0,0,0,0,22,33
242,Marcedes Lewis,TE,GNB,1.0,CIN,5,5,Sun,2,2,34,17.0,0,100.00%,17.0,5.4,0,0,0,0,0,0,0,0,0,1,25,22
243,Harrison Bryant,TE,CLE,0.0,PIT,8,8,Sun,2,2,33,16.5,0,100.00%,16.5,5.3,0,0,0,0,0,0,0,0,0,0,10,15
244,Gerald Everett,TE,SEA,0.0,NOR,7,7,Mon,3,3,11,3.67,0,100.00%,3.67,5.3,0,0,0,0,0,1,12,0,0,0,10,13
245,Anthony Firkser,TE,TEN,1.0,NYJ,4,4,Sun,5,3,23,7.67,0,60.00%,4.6,5.3,0,0,0,0,0,0,0,0,0,0,24,27
246,Eric Saubert,TE,DEN,0.0,LVR,6,6,Sun,5,3,23,7.67,0,60.00%,4.6,5.3,0,0,0,0,0,0,0,0,0,0,24,34
247,Ryan Griffin,TE,NYJ,1.0,CAR,1,1,Sun,6,3,22,7.33,0,50.00%,3.67,5.2,0,0,0,0,0,0,0,0,0,0,14,19
248,Jonnu Smith,TE,NWE,1.0,HOU,5,5,Sun,2,2,27,13.5,0,100.00%,13.5,5.2,0,0,0,0,0,1,5,0,0,1,25,22
249,Jack Doyle,TE,IND,0.0,SEA,1,1,Sun,4,3,21,7.0,0,75.00%,5.25,5.1,0,0,0,0,0,0,0,0,0,0,16,28
250,Ian Thomas,TE,CAR,0.0,MIN,6,6,Sun,2,1,41,41.0,0,50.00%,20.5,5.1,0,0,0,0,0,0,0,0,0,0,28,34
251,Mark Andrews,TE,BAL,1.0,LVR,1,1,Mon,5,3,20,6.67,0,60.00%,4.0,5.0,0,0,0,0,0,0,0,0,0,0,27,33
252,Noah Fant,TE,DEN,1.0,PIT,5,5,Sun,4,3,20,6.67,0,75.00%,5.0,5.0,0,0,0,0,0,0,0,0,0,0,19,27
253,Jesse James,TE,CHI,1.0,TAM,7,7,Sun,3,3,20,6.67,0,100.00%,6.67,5.0,0,0,0,0,0,0,0,0,0,0,3,38
254,Blake Jarwin,TE,DAL,1.0,TAM,1,1,Thu,3,3,20,6.67,0,100.00%,6.67,5.0,0,0,0,0,0,0,0,0,0,0,29,31
